"C:\Users\technopc\Downloads\VolatilityWorkbench\vol.exe" -f "C:\Users\technopc\Desktop\volatility3\20240516.mem" windows.cmdline.CmdLine 
Volatility 3 Framework 2.5.0
PID	Process	Args
4	System	Required memory at 0x20 is not valid (process exited?)
108	Secure System	Required memory at 0x20 is not valid (process exited?)
148	Registry	Required memory at 0x20 is not valid (process exited?)
600	smss.exe	\SystemRoot\System32\smss.exe
756	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
1120	wininit.exe	wininit.exe
1128	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
1192	winlogon.exe	winlogon.exe
1268	services.exe	C:\WINDOWS\system32\services.exe
1288	LsaIso.exe	\??\C:\WINDOWS\system32\lsaiso.exe -CredGuard -KeyGuard
1296	lsass.exe	C:\WINDOWS\system32\lsass.exe
1424	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
1452	fontdrvhost.ex	"fontdrvhost.exe"
1460	fontdrvhost.ex	"fontdrvhost.exe"
1560	svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p
1608	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM
1688	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost
1732	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1768	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService
1792	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1800	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1808	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc
1816	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv
1824	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -s BTAGService
1904	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s hidserv
1912	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc
1364	dwm.exe	"dwm.exe"
1724	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi
2064	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DevQueryBroker
2072	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm
2156	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc
2224	WUDFHost.exe	"C:\Windows\System32\WUDFHost.exe" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-42f1d7e8-896a-4855-8d6b-fc5f17239195 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-d02ddacd-0242-47ad-9b27-04147e000de5 -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-b1f96e1e-3a54-4c57-a83c-b6161715ac3f -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-3398f4b4-a559-4a53-9341-386b497c6c3d -LifetimeId:009e9330-5f2a-4968-9466-53efe4d9b272 -DeviceGroupId:WpdFsGroup -HostArg:0
2340	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager
2388	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt
2448	svchost.exe	C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc
2560	vmms.exe	C:\WINDOWS\system32\vmms.exe
2672	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s PhoneSvc
2720	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p
2748	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService
3032	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
3040	dasHost.exe	dashost.exe {88720bf0-e1e5-4872-ad99fd4f7f5a187e}
3088	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetSvcs -p -s HNS
