"C:\Users\technopc\Downloads\VolatilityWorkbench\vol.exe" -f "C:\Users\technopc\Desktop\volatility3\20240516.mem" windows.devicetree.DeviceTree 
Volatility 3 Framework 2.5.0
Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0x28181fe1174	DRV	-	N/A	N/A	N/A
0x28dc1fe1174	DRV	-	N/A	N/A	N/A
0x28e01fe1174	DRV	-	N/A	N/A	N/A
0x2e581fe1174	DRV	-	N/A	N/A	N/A
0x2e79e1e1174	DRV	-	N/A	N/A	N/A
0x2f101fe1174	DRV	-	N/A	N/A	N/A
0x2f481fe1174	DRV	-	N/A	N/A	N/A
0x2f601fe1174	DRV	-	N/A	N/A	N/A
0x2f841fe1174	DRV	-	N/A	N/A	N/A
0x2f9c1fe1174	DRV	-	N/A	N/A	N/A
0xb30782ecb9db	DRV	-	N/A	N/A	N/A
0xb30782ecba24	DRV		N/A	N/A	N/A
0xb307896fc9da	DRV	-	N/A	N/A	N/A
0xb307a360db08	DRV	-	N/A	N/A	N/A
0xb307b23e70f2	DRV	-	N/A	N/A	N/A
0xb307b301fe30	DRV	RamCaptureDriver	N/A	N/A	N/A
* 0xb307b301fe30	DEV	RamCaptureDriver	RamCaptureDriver	N/A	UNKNOWN
0xb30902ecb9db	DRV	-	N/A	N/A	N/A
0xb30902ecba24	DRV		N/A	N/A	N/A
0xb309096fc9da	DRV	-	N/A	N/A	N/A
0xb3092360db08	DRV	-	N/A	N/A	N/A
0xb309323e70f2	DRV	-	N/A	N/A	N/A
0xb3093301fe30	DRV	RamCaptureDriver	N/A	N/A	N/A
* 0xb3093301fe30	DEV	RamCaptureDriver	RamCaptureDriver	N/A	UNKNOWN
0xb314c1fe1174	DRV	-	N/A	N/A	N/A
0xb32841fe1174	DRV	-	N/A	N/A	N/A
0xb33a41fe1174	DRV	-	N/A	N/A	N/A
0xb34dc1fe1174	DRV	-	N/A	N/A	N/A
0xb35e82ecb9db	DRV	-	N/A	N/A	N/A
0xb35e82ecba24	DRV		N/A	N/A	N/A
0xb35e896fc9da	DRV	-	N/A	N/A	N/A
0xb35ea360db08	DRV	-	N/A	N/A	N/A
0xb35eb23e70f2	DRV	-	N/A	N/A	N/A
0xb35eb301fe30	DRV	RamCaptureDriver	N/A	N/A	N/A
* 0xb35eb301fe30	DEV	RamCaptureDriver	RamCaptureDriver	N/A	UNKNOWN
0xb36002ecb9db	DRV	-	N/A	N/A	N/A
0xb36002ecba24	DRV		N/A	N/A	N/A
0xb360096fc9da	DRV	-	N/A	N/A	N/A
0xb3602360db08	DRV	-	N/A	N/A	N/A
0xb360323e70f2	DRV	-	N/A	N/A	N/A
0xb3603301fe30	DRV	RamCaptureDriver	N/A	N/A	N/A
* 0xb3603301fe30	DEV	RamCaptureDriver	RamCaptureDriver	N/A	UNKNOWN
0xb36182ecb9db	DRV	-	N/A	N/A	N/A
0xb36182ecba24	DRV		N/A	N/A	N/A
0xb361896fc9da	DRV	-	N/A	N/A	N/A
0xb361a360db08	DRV	-	N/A	N/A	N/A
0xb361b23e70f2	DRV	-	N/A	N/A	N/A
0xb361b301fe30	DRV	RamCaptureDriver	N/A	N/A	N/A
* 0xb361b301fe30	DEV	RamCaptureDriver	RamCaptureDriver	N/A	UNKNOWN
0xb36302ecb9db	DRV	-	N/A	N/A	N/A
0xb36302ecba24	DRV		N/A	N/A	N/A
0xb363096fc9da	DRV	-	N/A	N/A	N/A
0xb3632360db08	DRV	-	N/A	N/A	N/A
0xb363323e70f2	DRV	-	N/A	N/A	N/A
0xb3633301fe30	DRV	RamCaptureDriver	N/A	N/A	N/A
* 0xb3633301fe30	DEV	RamCaptureDriver	RamCaptureDriver	N/A	UNKNOWN
0xb377c1fe1174	DRV	-	N/A	N/A	N/A
0xe785a3508a30	DRV	CNG	N/A	N/A	N/A
* 0xe785a3508a30	DEV	CNG	CNG	N/A	UNKNOWN
0xe785a352d8e0	DRV	MsSecCore	N/A	N/A	N/A
0xe785a354de20	DRV	ACPI_HAL	N/A	N/A	N/A
* 0xe785a354de20	DEV	ACPI_HAL	00000031	N/A	FILE_DEVICE_BUS_EXTENDER
** 0xe785a354de20	ATT	ACPI_HAL	-	\Driver\UEFI	FILE_DEVICE_BUS_EXTENDER
0xe785a3553e20	DRV	WMIxWDM	N/A	N/A	N/A
* 0xe785a3553e20	DEV	WMIxWDM	WMIDataDevice	N/A	FILE_DEVICE_UNKNOWN
0xe785a355cd50	DRV	vmbus	N/A	N/A	N/A
0xe785a35d2e30	DRV	PnpManager	N/A	N/A	N/A
* 0xe785a35d2e30	DEV	PnpManager	000000b0	N/A	FILE_DEVICE_CONTROLLER
** 0xe785a35d2e30	ATT	PnpManager	NDMP27	\Driver\VMSP	FILE_DEVICE_PHYSICAL_NETCARD
0xe785a35dddc0	DRV	BasicRender	N/A	N/A	N/A
* 0xe785a35dddc0	DEV	BasicRender	-	N/A	FILE_DEVICE_VIDEO
0xe785a35dee10	DRV	DXGKrnl	N/A	N/A	N/A
* 0xe785a35dee10	DEV	DXGKrnl	DxgKrnl	N/A	FILE_DEVICE_UNKNOWN
0xe785a35e2e20	DRV	SoftwareDevice	N/A	N/A	N/A
* 0xe785a35e2e20	DEV	SoftwareDevice	000000c3	N/A	FILE_DEVICE_UNKNOWN
0xe785a36f3df0	DRV	DeviceApi	N/A	N/A	N/A
* 0xe785a36f3df0	DEV	DeviceApi	DeviceApi	N/A	FILE_DEVICE_UNKNOWN
0xe785a36fc2c0	DRV	PRM	N/A	N/A	N/A
0xe785a36fc740	DRV	Wdf01000	N/A	N/A	N/A
* 0xe785a36fc740	DEV	Wdf01000	KMDF0	N/A	FILE_DEVICE_UNKNOWN
0xe785a37e1780	DRV	acpiex	N/A	N/A	N/A
* 0xe785a37e1780	DEV	acpiex	RESOURCE_HUB	N/A	FILE_DEVICE_UNKNOWN
0xe785a37e3770	DRV	pci	N/A	N/A	N/A
* 0xe785a37e3770	DEV	pci	NTPNP_PCI0027	N/A	FILE_DEVICE_CONTROLLER
** 0xe785a37e3770	ATT	pci	-	\Driver\ACPI	FILE_DEVICE_ACPI
*** 0xe785a37e3770	ATT	pci	RaidPort0	\Driver\storahci	FILE_DEVICE_CONTROLLER
0xe785a37e3bf0	DRV	msisadrv	N/A	N/A	N/A
* 0xe785a37e3bf0	DEV	msisadrv	-	N/A	FILE_DEVICE_UNKNOWN
0xe785a37e5bc0	DRV	storvsp	N/A	N/A	N/A
* 0xe785a37e5bc0	DEV	storvsp	STORVSP	N/A	FILE_DEVICE_UNKNOWN
0xe785a37e74e0	DRV	UEFI	N/A	N/A	N/A
* 0xe785a37e74e0	DEV	UEFI	0000005a	N/A	FILE_DEVICE_BUS_EXTENDER

0xe785a37e82c0	DRV	SpbCx	N/A	N/A	N/A
* 0xe785a37e82c0	DEV	SpbCx	SpbCx0	N/A	FILE_DEVICE_UNKNOWN
0xe785a37e9960	DRV	UCPD	N/A	N/A	N/A
0xe785a37e99b0	DRV	-	N/A	N/A	N/A
* 0xe785a37e99b0	DEV	-	-	N/A	UNKNOWN
0xe785a37ea740	DRV	ACPI	N/A	N/A	N/A
* 0xe785a37ea740	DEV	ACPI	-	N/A	FILE_DEVICE_ACPI
** 0xe785a37ea740	ATT	ACPI	-	\Driver\monitor	FILE_DEVICE_UNKNOWN
0xe785a37eabc0	DRV	WindowsTrustedRTProxy	N/A	N/A	N/A
0xe785a37eb4e0	DRV	IntelPMT	N/A	N/A	N/A
0xe785a37eb960	DRV	WindowsTrustedRT	N/A	N/A	N/A
* 0xe785a37eb960	DEV	WindowsTrustedRT	WindowsTrustedRT	N/A	FILE_DEVICE_UNKNOWN
0xe785a37ec2c0	DRV	intelpep	N/A	N/A	N/A
0xe785a37ec740	DRV	WdBoot	N/A	N/A	N/A
0xe785a37ecbc0	DRV	lxss	N/A	N/A	N/A
* 0xe785a37ecbc0	DEV	lxss	lxss	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM

0xe785a44a2d50	DRV	volmgrx	N/A	N/A	N/A
0xe785a44a3d50	DRV	volmgr	N/A	N/A	N/A
* 0xe785a44a3d50	DEV	volmgr	HarddiskVolume5	N/A	FILE_DEVICE_DISK
** 0xe785a44a3d50	ATT	volmgr	-	\Driver\fvevol	FILE_DEVICE_DISK
*** 0xe785a44a3d50	ATT	volmgr	-	\Driver\volume	FILE_DEVICE_DISK
0xe785a44a9d50	DRV	partmgr	N/A	N/A	N/A
* 0xe785a44a9d50	DEV	partmgr	-	N/A	FILE_DEVICE_DISK
0xe785a44aad50	DRV	vsock	N/A	N/A	N/A
* 0xe785a44aad50	DEV	vsock	vmci	N/A	FILE_DEVICE_UNKNOWN
0xe785a44bae30	DRV	ws2ifsl	N/A	N/A	N/A
* 0xe785a44bae30	DEV	ws2ifsl	WS2IFSL	N/A	FILE_DEVICE_NAMED_PIPE
0xe785a44c6c90	DRV	NdisCap	N/A	N/A	N/A
0xe785a44c8c90	DRV	NetBIOS	N/A	N/A	N/A
* 0xe785a44c8c90	DEV	NetBIOS	Netbios	N/A	FILE_DEVICE_TRANSPORT
0xe785a44f3d50	DRV	pdc	N/A	N/A	N/A
* 0xe785a44f3d50	DEV	pdc	-	N/A	FILE_DEVICE_UNKNOWN
0xe785a44f8d50	DRV	vdrvroot	N/A	N/A	N/A
* 0xe785a44f8d50	DEV	vdrvroot	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xe785a44fbd50	DRV	Fs_Rec	N/A	N/A	N/A
Traceback (most recent call last):
* 0xe785a44fbd50	DEV	Fs_Rec	CdfsRecognizer	N/A	FILE_DEVICE_CD_ROM_FILE_SYSTEM
0xe785a4609e20	DRV	TPM	N/A	N/A	N/A
  File "vol.py", line 10, in <module>
* 0xe785a4609e20	DEV	TPM	-	N/A	FILE_DEVICE_UNKNOWN
0xe785a460ae20	DRV	RAW	N/A	N/A	N/A
  File "volatility3\cli\__init__.py", line 790, in main
  File "volatility3\cli\__init__.py", line 447, in run
  File "volatility3\cli\text_renderer.py", line 193, in render
  File "volatility3\framework\renderers\__init__.py", line 247, in populate
  File "volatility3\cli\text_renderer.py", line 188, in visitor
  File "encodings\cp1254.py", line 19, in encode
* 0xe785a460ae20	DEV	RAW	RawTape	N/A	FILE_DEVICE_TAPE_FILE_SYSTEM
0xe785a460dd10	DRV	vmci	N/A	N/A	N/A
