SSDT (System Service Descriptor Table), RAM analizi sırasında değil, ancak Windows işletim sistemi içinde çalışan çekirdek modundaki işlemlerin sistem çağrılarına erişimini yönetmek için kullanılır. SSDT, işletim sisteminin güvenliği ve doğru işleyişi için kritik bir rol oynar

"C:\Users\technopc\Downloads\VolatilityWorkbench\vol.exe" -f "C:\Users\technopc\Desktop\volatility3\20240516.mem" windows.ssdt.SSDT 
Volatility 3 Framework 2.5.0
Index	Address	Module	Symbol
0	0xf8020fa92650	ntoskrnl	NtAccessCheck
1	0xf8020fa9e530	ntoskrnl	NtWorkerFactoryWorkerReady
2	0xf8020ff4dd70	ntoskrnl	NtAcceptConnectPort
3	0xf80210240f20	ntoskrnl	NtMapUserPhysicalPagesScatter
4	0xf8020fec19d0	ntoskrnl	NtWaitForSingleObject
5	0xf8020fc1cd10	ntoskrnl	NtCallbackReturn
6	0xf8020ffec420	ntoskrnl	NtReadFile
7	0xf8020fec3630	ntoskrnl	NtDeviceIoControlFile
8	0xf8020fe8c780	ntoskrnl	NtWriteFile
9	0xf8020fec1830	ntoskrnl	NtRemoveIoCompletion
10	0xf8020fee09d0	ntoskrnl	NtReleaseSemaphore
11	0xf8020ff6cc20	ntoskrnl	NtReplyWaitReceivePort
12	0xf8020ff44800	ntoskrnl	NtReplyPort
13	0xf8020ff8adf0	ntoskrnl	NtSetInformationThread
14	0xf8020ff1a3f0	ntoskrnl	NtSetEvent
15	0xf8020fec2680	ntoskrnl	NtClose
16	0xf8020ff66ed0	ntoskrnl	NtQueryObject
17	0xf8020ff9f2e0	ntoskrnl	NtQueryInformationFile
18	0xf8020ff19620	ntoskrnl	NtOpenKey
19	0xf8020ffade50	ntoskrnl	NtEnumerateValueKey
20	0xf8020ff64730	ntoskrnl	NtFindAtom
21	0xf8020ffe4f90	ntoskrnl	NtQueryDefaultLocale
22	0xf8020feb47c0	ntoskrnl	NtQueryKey
23	0xf8020fec0fe0	ntoskrnl	NtQueryValueKey
24	0xf8020ff18ff0	ntoskrnl	NtAllocateVirtualMemory
25	0xf8020fed9990	ntoskrnl	NtQueryInformationProcess
26	0xf8020ff35da0	ntoskrnl	NtWaitForMultipleObjects32
27	0xf8020ff558b0	ntoskrnl	NtWriteFileGather
28	0xf8020fed2320	ntoskrnl	NtSetInformationProcess
29	0xf8020ffafa00	ntoskrnl	NtCreateKey
30	0xf8020ffa0b20	ntoskrnl	NtFreeVirtualMemory
31	0xf80210176980	ntoskrnl	NtImpersonateClientOfPort
32	0xf8020ff1bd70	ntoskrnl	NtReleaseMutant

33	0xf8020ff95780	ntoskrnl	NtQueryInformationToken
34	0xf8020ff6c700	ntoskrnl	NtRequestWaitReplyPort
35	0xf8020ff86720	ntoskrnl	NtQueryVirtualMemory
36	0xf8020ff65890	ntoskrnl	NtOpenThreadToken
37	0xf8020ff16170	ntoskrnl	NtQueryInformationThread
38	0xf8020ff7a060	ntoskrnl	NtOpenProcess
39	0xf8020faefd80	ntoskrnl	NtSetInformationFile
40	0xf8020ffa2180	ntoskrnl	NtMapViewOfSection
41	0xf8020fe9ae00	ntoskrnl	NtAccessCheckAndAuditAlarm
42	0xf8020ff741e0	ntoskrnl	NtUnmapViewOfSection
43	0xf8020ff6cc40	ntoskrnl	NtReplyWaitReceivePortEx
44	0xf8020ffe4c40	ntoskrnl	NtTerminateProcess
45	0xf802101f9d10	ntoskrnl	NtSetEventBoostPriority
46	0xf8020ff54510	ntoskrnl	NtReadFileScatter
47	0xf8020ff658b0	ntoskrnl	NtOpenThreadTokenEx
48	0xf8020ff8ef10	ntoskrnl	NtOpenProcessTokenEx
49	0xf8020ff273e0	ntoskrnl	NtQueryPerformanceCounter
50	0xf8020feb9e90	ntoskrnl	NtEnumerateKey
51	0xf8020ffebd80	ntoskrnl	NtOpenFile
52	0xf8020fecd6c0	ntoskrnl	NtDelayExecution
